Trial Number,Visualization Type,Guessed Percentage,Correct Percentage
1,Pie Chart,72,72
2,Bubble Chart,18,12
3,Bar Chart,97,96
4,Pie Chart,54,64
5,Bar Chart,9,9
6,Bar Chart,68,67
7,Pie Chart,99,100
8,Bar Chart,39,39
9,Bar Chart,90,91
10,Bar Chart,72,70
11,Bubble Chart,36,32
12,Bar Chart,17,18
13,Pie Chart,67,78
14,Voronoi Tree Map,87,82
15,Bubble Chart,28,21
16,Bar Chart,30,29
17,Bar Chart,48,53
18,Bar Chart,92,90
19,Bubble Chart,73,71
20,Bar Chart,86,87
21,Bubble Chart,34,29
22,Pie Chart,38,47
23,Bar Chart,25,24
24,Bar Chart,23,26
25,Voronoi Tree Map,56,46
26,Voronoi Tree Map,30,31
27,Bar Chart,14,14
28,Bar Chart,86,85
29,Bar Chart,75,70
30,Pie Chart,12,8
31,Bar Chart,36,32
32,Pie Chart,44,54
33,Pie Chart,49,60
34,Bar Chart,63,63
35,Bubble Chart,45,56
36,Pie Chart,50,57
37,Voronoi Tree Map,59,60
38,Bar Chart,17,19
39,Bubble Chart,6,3
40,Pie Chart,72,84
41,Pie Chart,55,50
42,Voronoi Tree Map,87,75
43,Pie Chart,47,54
44,Pie Chart,68,76
45,Bubble Chart,11,12
46,Bar Chart,13,14
47,Voronoi Tree Map,86,74
48,Voronoi Tree Map,59,53
49,Pie Chart,90,89
50,Bubble Chart,32,35
51,Voronoi Tree Map,50,54
52,Bubble Chart,20,19
53,Pie Chart,91,82
54,Voronoi Tree Map,89,82
55,Voronoi Tree Map,34,35
56,Voronoi Tree Map,83,84
57,Bubble Chart,79,72
58,Pie Chart,95,82
59,Pie Chart,22,18
60,Pie Chart,96,91
61,Voronoi Tree Map,38,33
62,Pie Chart,17,20
63,Bubble Chart,86,83
64,Bubble Chart,18,18
65,Voronoi Tree Map,97,89
66,Pie Chart,7,4
67,Voronoi Tree Map,60,59
68,Bubble Chart,5,3
69,Bubble Chart,59,57
70,Bubble Chart,51,55
71,Bubble Chart,12,15
72,Bubble Chart,40,50
73,Bubble Chart,36,46
74,Voronoi Tree Map,48,57
75,Bubble Chart,46,50
76,Voronoi Tree Map,42,49
77,Voronoi Tree Map,95,80
78,Voronoi Tree Map,44,38
79,Voronoi Tree Map,64,75
80,Voronoi Tree Map,53,74
