Trial Number,Visualization Type,Guessed Percentage,Correct Percentage
1,Pie Chart,35,34
2,Bar Chart,25,27
3,Pie Chart,50,60
4,Pie Chart,30,33
5,Voronoi Tree Map,90,92
6,Voronoi Tree Map,90,80
7,Pie Chart,5,10
8,Voronoi Tree Map,27,33
9,Bubble Chart,3,3
10,Voronoi Tree Map,85,87
11,Pie Chart,60,48
12,Bubble Chart,40,20
13,Voronoi Tree Map,40,57
14,Bubble Chart,100,97
15,Pie Chart,15,11
16,Pie Chart,3,3
17,Bubble Chart,80,55
18,Pie Chart,90,91
19,Bar Chart,85,94
20,Bubble Chart,95,89
21,Bar Chart,65,61
22,Voronoi Tree Map,60,67
23,Pie Chart,92,75
24,Bubble Chart,7,5
25,Bubble Chart,35,27
26,Voronoi Tree Map,15,10
27,Bar Chart,25,21
28,Voronoi Tree Map,30,62
29,Voronoi Tree Map,90,77
30,Voronoi Tree Map,99,92
31,Bubble Chart,85,71
32,Voronoi Tree Map,90,83
33,Voronoi Tree Map,9,13
34,Bar Chart,100,100
35,Bubble Chart,75,48
36,Pie Chart,50,48
37,Bar Chart,2,1
38,Bar Chart,95,91
39,Voronoi Tree Map,7,9
40,Bubble Chart,97,100
41,Pie Chart,28,18
42,Bar Chart,30,37
43,Pie Chart,10,8
44,Bubble Chart,40,30
45,Voronoi Tree Map,3,2
46,Voronoi Tree Map,45,73
47,Pie Chart,7,2
48,Bubble Chart,90,74
49,Pie Chart,60,64
50,Voronoi Tree Map,4,4
51,Bar Chart,26,30
52,Pie Chart,98,92
53,Voronoi Tree Map,24,42
54,Pie Chart,30,25
55,Voronoi Tree Map,97,50
56,Bubble Chart,25,10
57,Voronoi Tree Map,85,57
58,Voronoi Tree Map,10,9
59,Bubble Chart,80,55
60,Bubble Chart,93,95
61,Bar Chart,77,76
62,Bar Chart,32,25
63,Pie Chart,89,67
64,Pie Chart,39,41
65,Bubble Chart,80,60
66,Pie Chart,28,36
67,Bubble Chart,91,60
68,Bubble Chart,34,25
69,Bubble Chart,29,34
70,Bar Chart,22,14
71,Bubble Chart,11,6
72,Bar Chart,68,67
73,Bar Chart,75,76
74,Bar Chart,60,38
75,Bar Chart,79,82
76,Pie Chart,80,58
77,Bar Chart,90,90
78,Bar Chart,80,79
79,Bar Chart,28,26
80,Bar Chart,15,12
