Trial Number,Visualization Type,Guessed Percentage,Correct Percentage
1,Bar Chart,67,70
2,Voronoi Tree Map,33,8
3,Pie Chart,80,69
4,Voronoi Tree Map,44,45
5,Bar Chart,66,57
6,Bubble Chart,87,58
7,Pie Chart,87,71
8,Pie Chart,76,32
9,Voronoi Tree Map,88,81
10,Voronoi Tree Map,48,49
11,Voronoi Tree Map,57,90
12,Pie Chart,79,71
13,Voronoi Tree Map,91,88
14,Bubble Chart,29,8
15,Bubble Chart,84,83
16,Voronoi Tree Map,37,16
17,Pie Chart,7,8
18,Bar Chart,52,46
19,Bar Chart,12,4
20,Bubble Chart,97,98
21,Pie Chart,19,9
22,Voronoi Tree Map,65,49
23,Pie Chart,72,31
24,Bubble Chart,39,37
25,Bubble Chart,28,24
26,Bubble Chart,39,37
27,Bar Chart,88,79
28,Pie Chart,22,19
29,Voronoi Tree Map,46,46
30,Pie Chart,78,59
31,Bubble Chart,48,52
32,Voronoi Tree Map,22,19
33,Bubble Chart,95,95
34,Bubble Chart,97,98
35,Voronoi Tree Map,91,84
36,Bubble Chart,98,92
37,Voronoi Tree Map,38,38
38,Voronoi Tree Map,69,53
39,Bubble Chart,76,64
40,Voronoi Tree Map,69,52
41,Pie Chart,87,34
42,Bubble Chart,28,17
43,Voronoi Tree Map,74,47
44,Bubble Chart,83,75
45,Bubble Chart,66,70
46,Voronoi Tree Map,37,23
47,Bubble Chart,21,12
48,Bubble Chart,34,32
49,Bar Chart,98,96
50,Voronoi Tree Map,89,73
51,Bubble Chart,45,29
52,Bubble Chart,38,37
53,Pie Chart,32,38
54,Voronoi Tree Map,19,11
55,Voronoi Tree Map,41,25
56,Bar Chart,34,30
57,Voronoi Tree Map,87,97
58,Bar Chart,78,65
59,Bubble Chart,36,28
60,Bar Chart,68,65
61,Pie Chart,87,76
62,Pie Chart,28,22
63,Bar Chart,28,18
64,Pie Chart,8,6
65,Pie Chart,13,15
66,Bar Chart,69,55
67,Pie Chart,63,37
68,Pie Chart,89,79
69,Bar Chart,7,5
70,Pie Chart,72,52
71,Bar Chart,87,94
72,Bar Chart,62,81
73,Bar Chart,59,52
74,Bar Chart,72,57
75,Pie Chart,55,47
76,Pie Chart,63,58
77,Bar Chart,43,37
78,Bar Chart,92,89
79,Bar Chart,9,7
80,Bar Chart,78,46
