Trial Number,Visualization Type,Guessed Percentage,Correct Percentage
1,Pie Chart,50,49
2,Pie Chart,0,38
3,Bubble Chart,0,45
4,Voronoi Tree Map,90,68
5,Bubble Chart,90,62
6,Bubble Chart,70,59
7,Pie Chart,20,17
8,Bubble Chart,80,49
9,Pie Chart,60,59
10,Bubble Chart,15,14
11,Bar Chart,50,51
12,Bar Chart,90,79
13,Bubble Chart,10,8
14,Voronoi Tree Map,30,25
15,Bubble Chart,95,88
16,Pie Chart,60,55
17,Bubble Chart,90,83
18,Bar Chart,80,78
19,Bar Chart,90,86
20,Bar Chart,5,6
21,Pie Chart,80,64
22,Voronoi Tree Map,70,52
23,Voronoi Tree Map,30,26
24,Voronoi Tree Map,100,91
25,Bubble Chart,90,75
26,Bar Chart,80,83
27,Voronoi Tree Map,90,76
28,Voronoi Tree Map,70,45
29,Pie Chart,90,90
30,Voronoi Tree Map,70,78
31,Pie Chart,90,75
32,Bar Chart,50,43
33,Voronoi Tree Map,40,30
34,Voronoi Tree Map,30,29
35,Bubble Chart,70,50
36,Pie Chart,50,47
37,Voronoi Tree Map,50,41
38,Bar Chart,50,47
39,Bar Chart,50,51
40,Bubble Chart,100,95
41,Pie Chart,60,56
42,Bubble Chart,90,73
43,Bubble Chart,95,82
44,Bar Chart,5,9
45,Bar Chart,50,53
46,Pie Chart,100,88
47,Voronoi Tree Map,30,40
48,Voronoi Tree Map,100,97
49,Bar Chart,20,23
50,Bubble Chart,30,26
51,Voronoi Tree Map,30,24
52,Bar Chart,20,18
53,Voronoi Tree Map,5,2
54,Voronoi Tree Map,90,74
55,Bar Chart,40,34
56,Bar Chart,95,94
57,Voronoi Tree Map,70,62
58,Pie Chart,80,64
59,Pie Chart,10,14
60,Voronoi Tree Map,30,25
61,Bar Chart,50,45
62,Voronoi Tree Map,70,58
63,Bar Chart,30,32
64,Bubble Chart,50,37
65,Bubble Chart,60,42
66,Pie Chart,70,63
67,Bar Chart,20,22
68,Bubble Chart,80,76
69,Bar Chart,30,34
70,Bubble Chart,5,5
71,Bubble Chart,90,68
72,Bar Chart,3,1
73,Pie Chart,80,60
74,Pie Chart,10,21
75,Pie Chart,80,79
76,Pie Chart,8,9
77,Bubble Chart,30,20
78,Voronoi Tree Map,10,19
79,Pie Chart,40,35
80,Pie Chart,60,62
